CollectedAt,IsHoliday,ParkId,TotalSpaces,AvailableSpaces,FullStatus,ParkDataCollectTime,RainNow,RainPast10Min,RainPast1hr,RainPast3hr,RainPast12hr,RainPast24hr
2026-05-29T18:00:34,0,666,239,54,0,2026-05-26T16:34:20+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,702,258,9,0,2026-05-26T16:34:54+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,713,170,13,0,2026-05-26T16:34:37+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,714,194,35,0,2026-05-26T16:34:58+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,718,133,59,0,2026-05-26T16:34:12+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,719,135,19,0,2026-05-26T16:34:04+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,720,149,32,0,2026-05-26T16:34:40+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,721,65,24,0,2026-05-26T16:35:00+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,722,323,112,0,2026-05-26T16:34:07+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,760,309,8,0,2026-05-26T16:35:00+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,768,128,51,0,2026-05-26T16:34:27+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,783,237,31,0,2026-05-26T16:34:18+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,784,370,97,0,2026-05-26T16:34:46+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,785,270,48,0,2026-05-26T16:34:52+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,829,113,68,0,2026-05-26T16:34:17+08:00,16.5,0.0,0.0,0.0,15.0,16.5
